pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
constance	stream	roberts	stream	allo	S	0.00218643428447704	-3.88645354668205e-06	9.5751412266118e-05	-4.51956265363148e-05	NA	788	2114	allo_S	sl	bc	allo	allo_S
constance	stream	sk	marine	allo	D	0.00676076795070367	-0.000192670391928773	-0.000204606748837111	0.000104506919801491	NA	0	108	allo_D	sl	ns	allo	allo_D
constance	stream	sr	marine	allo	D	0.00628729822575127	-0.000143812128837696	-2.45197336814603e-05	3.28223216223798e-05	NA	0	127	allo_D	sl	ns	allo	allo_D
constance	stream	sr	white	allo	D	0.00681170115015594	-0.00012826052289701	-0.000795081126505217	2.27151697813428e-05	NA	0	157	allo_D	sl	ns	allo	allo_D
cp	marine	ln	marine	allo	S	0.00128548272935167	6.22485399289476e-05	0.000304198968565374	-8.59394878235225e-06	NA	3157	3279	allo_S	ns	ns	para	para_S
cp	marine	mh	marine	allo	S	0.00129897013593338	6.13253289381922e-05	0.000481922250117035	-1.07135353654264e-05	NA	2239	2583	allo_S	ns	ns	para	para_S
cp	marine	mh	white	allo	D	0.00121331077958255	5.13102714683788e-05	0.000757007123303986	-2.0877559068005e-05	NA	1701	2164	allo_D	ns	ns	para	para_D
cp	marine	sk	marine	allo	S	0.00128385733076465	5.86787020003313e-05	0.000380770830397704	-1.03965908876198e-05	NA	2732	2944	allo_S	ns	ns	para	para_S
cp	marine	sr	marine	allo	S	0.00123565741102695	6.71956032633329e-05	0.000417630684339259	-1.21822121461725e-05	NA	2859	3034	allo_S	ns	ns	para	para_S
cp	marine	sr	white	allo	D	0.00119848574233006	6.51243682960986e-05	0.000399718262781483	-7.40401852531104e-06	NA	3022	3175	allo_D	ns	ns	para	para_D
cr	stream	al	marine	allo	D	0.00208253136240829	0.000143311419513855	0.000926656286554779	2.15375862228541e-05	NA	1	423	allo_D	or	ns	allo	allo_D
cr	stream	bea	lake	allo	D	0.00220985259587311	4.71071680315199e-05	0.000330772182092503	-5.06945039402254e-05	NA	103	1683	allo_D	or	al	allo	allo_D
cr	stream	boot	lake	allo	D	0.00158683704292339	3.7307963084354e-05	0.000332016496742064	-3.85204793395099e-05	NA	626	2185	allo_D	or	bc	allo	allo_D
cr	stream	boot	stream	allo	S	0.00129254672022593	4.51758666865262e-05	0.00050914695476113	-4.13282734852516e-05	NA	504	2027	allo_S	or	bc	allo	allo_S
cr	stream	cl	marine	allo	D	0.00152572982795318	0.000157056614451468	0.00171256806053695	8.23466476530863e-06	NA	1	262	allo_D	or	ns	allo	allo_D
cr	stream	cl	white	allo	D	0.00184405683349607	0.000135218598139667	0.00110796989782974	4.07225304772179e-05	NA	3	407	allo_D	or	ns	allo	allo_D
cr	stream	constance	lake	allo	D	0.00106280600398364	4.18714408752465e-05	0.000419943456593639	-3.00593932886966e-05	NA	661	2163	allo_D	or	sl	allo	allo_D
cr	stream	constance	stream	allo	S	0.00111744006504131	4.53971791195418e-05	0.000443336820540747	-3.60918756950127e-05	NA	665	2205	allo_S	or	sl	allo	allo_S
cr	stream	cp	marine	allo	D	0.00228704061400217	0.000117913264580367	0.000281295640534852	-1.3899437931434e-05	NA	9	659	allo_D	or	ns	allo	allo_D
cr	stream	cs	marine	allo	D	0.00151818090999466	5.53740941192299e-05	0.000472347675501704	2.9504855837052e-06	NA	1599	2983	allo_D	or	or	para	para_D
cr	stream	denmark	marine	allo	D	0.00117827804201138	0.000139626232712125	0.000446274413468909	-9.54168802782072e-06	NA	127	1394	allo_D	or	ne	allo	allo_D
cr	stream	geneva	lake	allo	D	0.00125620773241775	3.29759929099525e-05	0.000239161707503003	-3.39156018115002e-05	NA	656	2159	allo_D	or	sl	allo	allo_D
cr	stream	geneva	stream	allo	S	0.00117085713239296	3.37893915221632e-05	0.000279869312542816	-3.49024939542797e-05	NA	663	2144	allo_S	or	sl	allo	allo_S
cr	stream	hadsten	lake	allo	D	0.00123080329913959	4.55073700757136e-05	0.000296216599842626	-1.90391981559214e-05	NA	906	2620	allo_D	or	ne	allo	allo_D
cr	stream	hald	lake	allo	D	0.00129249034251132	5.68826067077847e-05	0.000413459584590194	-1.80453763023113e-05	NA	938	2696	allo_D	or	ne	allo	allo_D
cr	stream	japan	japansea	allo	D	0.000911312261133591	5.61937037226485e-05	0.000310566699506096	1.63944435760887e-05	NA	1654	3330	allo_D	or	jp	allo	allo_D
cr	stream	japan	marine	allo	D	0.00111397833454759	8.60809528467224e-05	0.000537284965659761	-1.06214864054364e-05	NA	1619	2921	allo_D	or	jp	allo	allo_D
cr	stream	joes	lake	allo	D	0.00160114683566609	2.28465554863493e-05	0.000143275684869425	-2.2263099711555e-05	NA	624	2175	allo_D	or	bc	allo	allo_D
cr	stream	joes	stream	allo	S	0.0016753403724048	2.09383354881559e-05	0.000118329902689864	-2.63616659890903e-05	NA	580	2107	allo_S	or	bc	allo	allo_S
cr	stream	litcampbell	marine	allo	D	0.00526288875366153	4.6446704469528e-05	-0.00195958015295137	-7.8996958648847e-05	NA	3	120	allo_D	or	bc	allo	allo_D
cr	stream	ln	marine	allo	D	0.00228978248653933	0.000247933411347653	-1.12972330742954e-05	4.27153305037385e-05	NA	3	490	allo_D	or	ns	allo	allo_D
cr	stream	mariager	marine	allo	D	0.0013044241730473	6.46433242362219e-05	0.000468586338504695	-1.38607406608686e-05	NA	903	2696	allo_D	or	ne	allo	allo_D
cr	stream	mh	marine	allo	D	0.000740655249365774	0.00030644385562733	0.00246357103957051	7.85610930312567e-05	NA	1	200	allo_D	or	ns	allo	allo_D
cr	stream	mh	white	allo	D	0.00108090362679261	0.000226240428484093	0.00191812732314672	8.13387655095164e-05	NA	0	145	allo_D	or	ns	allo	allo_D
cr	stream	misty	lake	allo	D	0.00157780913616425	5.57616909734427e-05	0.000498254617158055	-2.48431126176549e-05	NA	688	2370	allo_D	or	bc	allo	allo_D
