pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
cs	marine	boot	stream	allo	D	-2.49512322655368	24963.6082899786	-0.549989459367626	-0.0241288624929089	NA	568	2376	allo_D	or	bc	allo	allo_D
cs	marine	cl	marine	allo	S	-2.96546978100493	38031.5284053417	0.314435467192589	-0.11149887211518	NA	1	351	allo_S	or	ns	allo	allo_S
cs	marine	cl	white	allo	D	-2.78982433576861	38123.1115822533	0.0362080616134169	-0.0948823693977825	NA	3	533	allo_D	or	ns	allo	allo_D
cs	marine	constance	lake	allo	D	-2.56303622848625	19697.9471395154	-0.302472391927124	-0.0514285954109173	NA	720	2435	allo_D	or	sl	allo	allo_D
cs	marine	constance	stream	allo	D	-3.33626080870237	24120.2346801041	0.40898197324045	-0.0364080662274149	NA	741	2440	allo_D	or	sl	allo	allo_D
cs	marine	cp	marine	allo	S	-2.56632078578105	21094.5193654995	-0.0362006067973677	-0.106753619887851	NA	10	815	allo_S	or	ns	allo	allo_S
cs	marine	denmark	marine	allo	S	-2.3362379152166	-18739.9479176815	-0.194831522726277	-0.0729637099612313	NA	161	1667	allo_S	or	ne	allo	allo_S
cs	marine	geneva	lake	allo	D	-2.51311386544335	24829.923373121	-0.18059047410928	-0.101273134863814	NA	719	2416	allo_D	or	sl	allo	allo_D
cs	marine	geneva	stream	allo	D	-2.22491290159055	19087.3390391059	-0.376203297987868	-0.118493269019462	NA	740	2419	allo_D	or	sl	allo	allo_D
cs	marine	hadsten	lake	allo	D	-2.50506654688338	13689.6117075907	-0.160144622830269	-0.0884559366927468	NA	985	2761	allo_D	or	ne	allo	allo_D
cs	marine	hald	lake	allo	D	-2.21351461351296	702.974812724527	-0.17212974671808	-0.141236064788203	NA	1009	2768	allo_D	or	ne	allo	allo_D
cs	marine	japan	japansea	allo	D	-2.32198564388557	8727.51482764794	-0.246453798497821	-0.110813219038539	NA	1827	3362	allo_D	or	jp	allo	allo_D
cs	marine	japan	marine	allo	S	-2.1635510909021	6739.96977458584	-0.454362682960061	-0.0977522022105567	NA	1811	3037	allo_S	or	jp	allo	allo_S
cs	marine	joes	lake	allo	D	-2.44414418395878	23185.4396807615	-0.725332490143751	0.00459758841564453	NA	716	2425	allo_D	or	bc	allo	allo_D
cs	marine	joes	stream	allo	D	-3.04793527643997	22627.327310956	-0.164831188388463	0.0242257569395014	NA	671	2403	allo_D	or	bc	allo	allo_D
cs	marine	litcampbell	marine	allo	S	0.118781608494574	-22898.4877795703	-3.03702078680654	0.000390268070681373	NA	5	139	allo_S	or	bc	allo	allo_S
cs	marine	ln	marine	allo	S	-3.12227984543827	31880.46287858	0.168352508037311	-0.0371815087769218	NA	4	634	allo_S	or	ns	allo	allo_S
cs	marine	mariager	marine	allo	S	-2.55668494863683	-1165.32448864378	0.0795572249249296	-0.109914349029945	NA	973	2735	allo_S	or	ne	allo	allo_S
cs	marine	mh	marine	allo	S	-3.85181748203014	65444.9256777364	0.716444635667907	-0.062220129819743	NA	1	276	allo_S	or	ns	allo	allo_S
cs	marine	mh	white	allo	D	-3.70339869833172	39612.5376419102	1.01749134762278	-0.0933916528349686	NA	0	201	allo_D	or	ns	allo	allo_D
cs	marine	misty	lake	allo	D	-2.57324737581623	20367.7914570244	-0.582356930734921	0.00776217288842451	NA	771	2475	allo_D	or	bc	allo	allo_D
cs	marine	misty	stream	allo	D	-2.89485265036264	24862.3828537369	-0.291651044809962	0.013260962509009	NA	765	2464	allo_D	or	bc	allo	allo_D
cs	marine	ms	marine	allo	S	-2.48821686610697	-24315.6375566285	-0.293124317295559	-0.00903747122100695	NA	1019	2570	allo_S	or	or	para	para_S
cs	marine	mud	lake	allo	D	-3.21228892875273	2646.4706818165	0.370355841768542	-0.0210741311931628	NA	153	1947	allo_D	or	al	allo	allo_D
cs	marine	pcr	lake	allo	D	-2.3897878180177	32275.8497798827	-0.492383357041881	-0.0761975549019953	NA	1719	2876	allo_D	or	or	para	para_D
cs	marine	pl	lake	allo	D	-2.01321326423766	9665.69224080267	-0.934397098274305	-0.0305310919008749	NA	1537	2867	allo_D	or	or	para	para_D
cs	marine	rab	marine	allo	S	-2.05694695426807	-37079.9430151246	-0.0796001741193423	-0.144299751033222	NA	1	749	allo_S	or	al	allo	allo_S
cs	marine	rb	stream	allo	D	-2.26283737091885	36764.9004721122	-0.648891169987847	-0.0801412067235472	NA	1050	2687	allo_D	or	or	para	para_D
cs	marine	res	marine	allo	S	-2.36157013162945	-9400.46818889841	-0.133116196626266	-0.0913646288905672	NA	105	1747	allo_S	or	al	allo	allo_S
cs	marine	roberts	lake	allo	D	-2.22482876931069	27453.6940854313	-0.656856395652893	-0.0671254572700466	NA	777	2483	allo_D	or	bc	allo	allo_D
cs	marine	roberts	stream	allo	D	-2.51476999345609	30987.1535761699	-0.559608915713101	-0.0280366194141501	NA	745	2459	allo_D	or	bc	allo	allo_D
cs	marine	sj	marine	para	S	-2.68724707022981	37034.8276420592	-0.368640300699561	-0.0399471493568785	NA	1774	2901	para_S	or	or	para	para_S
