pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
japan marine geneva lake jp sl allo allo_D -3.699 0.095 8e-03 0.062
japan marine geneva stream jp sl allo allo_D -3.21 0.112 -0.385 0.023
japan marine japan japansea jp jp para para_D -2.9 0.037 0.194 -0.086
japan marine joes lake jp bc allo allo_D -2.774 -7e-03 -0.078 -0.012
japan marine joes stream jp bc allo allo_D -2.821 6e-03 -0.057 -0.014
japan marine litcampbell marine jp bc allo allo_S -0.897 -0.086 -1.535 -8e-03
japan marine ln marine jp ns allo allo_S -4.316 0.102 0.756 0.062
japan marine mh marine jp ns allo allo_S -4.286 0.086 0.924 0.035
japan marine mh white jp ns allo allo_D -4.843 0.074 1.507 0.041
japan marine misty lake jp bc allo allo_D -2.78 -0.059 0.068 -3e-03
japan marine misty stream jp bc allo allo_D -2.803 -0.014 -0.166 0.014
japan marine roberts lake jp bc allo allo_D -3.035 -6e-03 0.099 6e-03
japan marine roberts stream jp bc allo allo_D -3.202 -0.038 0.071 0.063
japan marine sk marine jp ns allo allo_S -4.574 0.097 1.15 0.037
japan marine sr marine jp ns allo allo_S -4.041 0.098 0.523 0.053
japan marine sr white jp ns allo allo_D -3.915 0.078 0.736 0
joes lake al marine bc ns allo allo_D NA NA NA NA
joes lake cl marine bc ns allo allo_D NA NA NA NA
joes lake cl white bc ns allo allo_D NA NA NA NA
joes lake cp marine bc ns allo allo_D NA NA NA NA
joes lake joes stream bc bc para para_D -2.383 -0.065 -0.449 0.015
joes lake ln marine bc ns allo allo_D NA NA NA NA
joes lake mh marine bc ns allo allo_D NA NA NA NA
joes lake mh white bc ns allo allo_D NA NA NA NA
joes lake misty lake bc bc para para_S -3.062 0.019 -0.446 0.091
joes lake misty stream bc bc para para_D -2.855 0.045 -0.457 0.036
joes lake roberts lake bc bc para para_S -2.901 4e-03 -0.929 0.15
joes lake roberts stream bc bc para para_D -3.537 -0.011 -0.109 0.135
joes lake sk marine bc ns allo allo_D NA NA NA NA
joes lake sr marine bc ns allo allo_D NA NA NA NA
joes lake sr white bc ns allo allo_D NA NA NA NA
joes stream al marine bc ns allo allo_D NA NA NA NA
joes stream cl marine bc ns allo allo_D NA NA NA NA
joes stream cl white bc ns allo allo_D NA NA NA NA
joes stream cp marine bc ns allo allo_D NA NA NA NA
joes stream ln marine bc ns allo allo_D NA NA NA NA
joes stream mh marine bc ns allo allo_D NA NA NA NA
joes stream mh white bc ns allo allo_D NA NA NA NA
joes stream misty lake bc bc para para_D -2.347 -7e-03 -1.25 0.114
joes stream misty stream bc bc para para_S -2.505 4e-03 -0.884 0.075
joes stream roberts lake bc bc para para_D -3.039 -0.092 -0.319 0.125
joes stream roberts stream bc bc para para_S -3.598 -0.032 -0.046 0.148
joes stream sk marine bc ns allo allo_D NA NA NA NA
joes stream sr marine bc ns allo allo_D NA NA NA NA
joes stream sr white bc ns allo allo_D NA NA NA NA
litcampbell marine al marine bc ns allo allo_S NA NA NA NA
litcampbell marine boot lake bc bc para para_D NA NA NA NA
litcampbell marine boot stream bc bc para para_D NA NA NA NA
litcampbell marine cl marine bc ns allo allo_S NA NA NA NA
litcampbell marine cl white bc ns allo allo_D NA NA NA NA
litcampbell marine constance lake bc sl allo allo_D NA NA NA NA
litcampbell marine constance stream bc sl allo allo_D NA NA NA NA
litcampbell marine cp marine bc ns allo allo_S NA NA NA NA
litcampbell marine geneva lake bc sl allo allo_D NA NA NA NA
litcampbell marine geneva stream bc sl allo allo_D NA NA NA NA
litcampbell marine joes lake bc bc para para_D NA NA NA NA
